TPCNote 130585 131180  58   0
TPCNote 130585 131775  48   2
TPCNote 131180 131775  56  -2
TPCNote 131775 132370  56  -2
TPCNote 131775 132965  46   0
TPCNote 132370 132965  55   3
TPCNote 132370 132825  67   3
TPCNote 132580 132825  72   2
TPCNote 132965 133560  39  -1
TPCNote 132965 134155  55   3
TPCNote 133560 134155  51  -1
TPCNote 134190 134785  51  -1
TPCNote 134190 135380  57   5
TPCNote 134785 135380  50   4
TPCNote 135380 135975  50   4
TPCNote 135380 137165  58   0
TPCNote 135975 136570  48   2
TPCNote 136570 137165  48   2
TPCNote 137165 137760  57   5
TPCNote 137165 137760  53   1
TPCNote 137270 137515  70   0
TPCNote 137270 161175  60   2
TPCNote 137760 138355  57   5
TPCNote 137760 138355  53   1
TPCNote 138390 138985  55   3
TPCNote 138390 138985  51  -1
TPCNote 138985 139580  55   3
TPCNote 138985 139580  51  -1
TPCNote 139580 140175  53   1
TPCNote 139580 140175  50   4
TPCNote 140175 140770  50   4
TPCNote 140175 141365  53   1
TPCNote 140770 141365  51  -1
TPCNote 141365 141960  50   4
TPCNote 141960 142555  48   2
TPCNote 142590 143185  50   4
TPCNote 143185 143780  53   1
TPCNote 143780 144970  58   0
TPCNote 144970 145565  46   0
TPCNote 145565 146160  48   2
TPCNote 146160 148575  50   4
TPCNote 148575 149170  48   2
TPCNote 149170 149765  50   4
TPCNote 149765 152180  51  -1
TPCNote 152180 152775  50   4
TPCNote 152775 153370  51  -1
TPCNote 153370 155155  53   1
TPCNote 155190 155785  50   4
TPCNote 155785 156380  52   6
TPCNote 156380 156975  54   8
TPCNote 156975 158760  55   3
TPCNote 158760 159355  58   0
TPCNote 159355 159985  57   5
TPCNote 159985 160580  55   3
TPCNote 160580 161175  57   5
TPCNote 161175 161770  60   2
TPCNote 161770 162960  50   4
TPCNote 162960 164185  52   6
TPCNote 164185 165375  54   8
TPCNote 165060 165375  69   5
TPCNote 165375 165970  55   3
TPCNote 165970 166565  57   5
TPCNote 166565 167160  55   3
TPCNote 167160 167755  54   8
TPCNote 167790 168385  55   3
TPCNote 168385 168980  50   4
TPCNote 168980 169575  46   0
TPCNote 169575 170170  51  -1
TPCNote 170170 170765  50   4
TPCNote 170765 171360  48   2
TPCNote 171360 171955  50   4
TPCNote 171990 172585  46   0
TPCNote 172585 173180  43   3
TPCNote 173180 173775  48   2
TPCNote 173775 174370  48   2
TPCNote 174370 174965  46   0
TPCNote 174965 175560  46   0
TPCNote 175560 176155  45   5
TPCNote 176190 176785  45   5
TPCNote 176785 177380  50   4
TPCNote 177380 177975  50   4
TPCNote 177975 178570  48   2
TPCNote 178570 179165  48   2
TPCNote 179165 179760  46   0
TPCNote 179760 182175  46   0
TPCNote 182175 183365  47   7
TPCNote 183365 184555  48   2
TPCNote 184590 185780  60   2
TPCNote 185780 186970  58   0
TPCNote 186970 188160  56  -2
TPCNote 188160 189385  58   0
TPCNote 189385 190575  46   0
TPCNote 190575 194775  51  -1
TPCNote 194180 194775  55   3
TPCNote 194775 195370  60   2
TPCNote 194775 195370  56  -2
TPCNote 195370 195965  58   0
TPCNote 195370 195965  55   3
TPCNote 195965 196560  56  -2
TPCNote 195965 196560  53   1
TPCNote 196560 197155  58   0
TPCNote 196560 197155  55   3
TPCNote 197190 197785  55   3
TPCNote 197190 197785  51  -1
TPCNote 197785 198380  51  -1
TPCNote 197785 199570  48   2
TPCNote 198380 198975  56  -2
TPCNote 198975 199570  56  -2
TPCNote 199570 200165  55   3
TPCNote 199570 200165  50   4
TPCNote 200165 200760  55   3
TPCNote 200165 202580  51  -1
TPCNote 200760 201355  53   1
TPCNote 201390 201985  53   1
TPCNote 201985 202580  58   0
TPCNote 202580 203175  58   0
TPCNote 202580 203175  50   4
TPCNote 203175 203770  56  -2
TPCNote 203175 203770  51  -1
TPCNote 203770 204365  56  -2
TPCNote 203770 206185  53   1
TPCNote 204365 204960  55   3
TPCNote 204960 206185  55   3
TPCNote 206185 206780  52   6
TPCNote 206780 207375  53   1
TPCNote 207375 209160  55   3
TPCNote 209160 209755  53   1
TPCNote 209790 210385  53   1
TPCNote 210385 210980  51  -1
TPCNote 210980 211575  51  -1
TPCNote 211575 212170  50   4
TPCNote 212170 213360  50   4
TPCNote 213360 214585  55   3
TPCNote 214585 215775  43   3
TPCNote 215775 216370  48   2
TPCNote 216370 216965  46   0
TPCNote 216965 217560  46   0
TPCNote 217560 218155  44  -2
TPCNote 218190 218785  44  -2
TPCNote 218785 219380  43   3
TPCNote 219380 220570  43   3
TPCNote 220570 221760  47   7
TPCNote 221760 222985  43   3
TPCNote 222985 223580  63  -1
TPCNote 222985 227185  48   2
TPCNote 223580 224175  53   1
TPCNote 224175 224770  51  -1
TPCNote 224770 225365  50   4
TPCNote 225365 225960  51  -1
TPCNote 225960 226555  55   3
TPCNote 226555 227780  60   2
TPCNote 227185 227780  50   4
TPCNote 227780 228375  55   3
TPCNote 227780 230160  51  -1
TPCNote 228375 228970  56  -2
TPCNote 228970 231385  58   0
TPCNote 230160 233765  53   1
TPCNote 231385 231980  57   5
TPCNote 231980 232575  59   7
TPCNote 232575 234955  60   2
TPCNote 233765 237370  55   3
TPCNote 234990 235585  59   7
TPCNote 235585 236180  60   2
TPCNote 237370 238560  48   2
TPCNote 238560 239785  51  -1
TPCNote 239785 240975  48   2
TPCNote 240975 242165  57   5
TPCNote 240975 242165  53   1
TPCNote 242165 243355  60   2
TPCNote 242165 243355  57   5
TPCNote 243390 244580  53   1
TPCNote 244580 245175  46   0
TPCNote 245175 245770  60   2
TPCNote 245770 246365  58   0
TPCNote 246365 246960  57   5
TPCNote 246960 247555  58   0
TPCNote 247590 248185  55   3
TPCNote 248185 248780  52   6
TPCNote 248780 249375  57   5
TPCNote 249375 249970  57   5
TPCNote 249970 250565  55   3
TPCNote 250565 251160  55   3
TPCNote 251160 251755  54   8
TPCNote 251790 252385  54   8
TPCNote 252385 252980  57   5
TPCNote 252980 253575  55   3
TPCNote 253575 254170  54   8
TPCNote 254170 254765  55   3
TPCNote 254765 255360  51  -1
